row_id,poverty_probability
0,0.6136
1,0.6798000000000001
2,0.473
3,0.521
4,0.6366
5,0.6998
6,0.8436
7,0.33580000000000004
8,0.5433999999999999
9,0.45550000000000007
10,0.49350000000000005
11,0.5073
12,0.2537
13,0.5268
14,0.45519999999999994
15,0.5572
16,0.7213999999999998
17,0.6147
18,0.8785000000000001
19,0.6127999999999999
20,0.8745
21,0.8130000000000001
22,0.651
23,0.8493999999999999
24,0.4506
25,0.717
26,0.8073
27,0.7076
28,0.5513999999999999
29,0.8880000000000001
30,0.8051999999999999
31,0.7840999999999999
32,0.5897
33,0.2777
34,0.34400000000000003
35,0.4288
36,0.4222
37,0.9107000000000001
38,0.6577
39,0.3518
40,0.2647
41,0.46820000000000006
42,0.6134000000000001
43,0.368
44,0.5306
45,0.6129999999999999
46,0.5159
47,0.8150000000000001
48,0.7283999999999999
49,0.5438999999999999
50,0.5232
51,0.5007999999999999
52,0.6294
53,0.6334
54,0.5995999999999999
55,0.6848000000000001
56,0.8732999999999999
57,0.6032
58,0.6789000000000001
59,0.3881
60,0.7594000000000001
61,0.7409000000000001
62,0.5942000000000001
63,0.5816999999999999
64,0.7237
65,0.42889999999999995
66,0.7847999999999999
67,0.6786
68,0.7409
69,0.4212999999999999
70,0.5197999999999999
71,0.7752
72,0.621
73,0.6073
74,0.6057
75,0.5482
76,0.6408
77,0.7144999999999999
78,0.5543
79,0.41450000000000004
80,0.6796
81,0.4974999999999999
82,0.5539
83,0.28150000000000003
84,0.6916000000000001
85,0.6405
86,0.6616000000000002
87,0.5186999999999999
88,0.5877
89,0.6498999999999999
90,0.6252000000000002
91,0.4704
92,0.5813999999999999
93,0.8510000000000002
94,0.7839
95,0.47729999999999995
96,0.866
97,0.7535999999999999
98,0.3783
99,0.8135
100,0.4664
101,0.9492
102,0.7281
103,0.9416
104,0.748
105,0.6691
106,0.6365999999999999
107,0.5324
108,0.6843
109,0.3927
110,0.497
111,0.6695
112,0.34620000000000006
113,0.7948
114,0.7832999999999999
115,0.8215
116,0.6037
117,0.3242
118,0.6144000000000001
119,0.6102999999999998
120,0.5483
121,0.21059999999999998
122,0.3649
123,0.6860999999999999
124,0.5384
125,0.8606
126,0.7251
127,0.8387999999999998
128,0.7792
129,0.5166000000000001
130,0.8116
131,0.29419999999999996
132,0.5658
133,0.7101
134,0.6455
135,0.7568999999999999
136,0.8533
137,0.813
138,0.6617
139,0.8495000000000001
140,0.5871000000000001
141,0.4058
142,0.646
143,0.9592
144,0.507
145,0.7835
146,0.5633999999999999
147,0.8674
148,0.6813
149,0.3378
150,0.7962999999999999
151,0.7076
152,0.3232
153,0.5695
154,0.3133
155,0.8954000000000001
156,0.8715999999999999
157,0.309
158,0.4732
159,0.8406999999999998
160,0.493
161,0.7182999999999999
162,0.6638
163,0.4971
164,0.5618000000000001
165,0.6791000000000001
166,0.335
167,0.7239
168,0.5970000000000001
169,0.46449999999999997
170,0.7435
171,0.47070000000000006
172,0.31270000000000003
173,0.3167999999999999
174,0.7158999999999999
175,0.7089000000000001
176,0.47919999999999996
177,0.5892000000000001
178,0.5692
179,0.5704
180,0.23600000000000004
181,0.5115000000000001
182,0.6045
183,0.7171000000000001
184,0.6203
185,0.35940000000000005
186,0.7012
187,0.6062000000000001
188,0.24289999999999995
189,0.7603
190,0.6513
191,0.5497
192,0.7976999999999999
193,0.7106
194,0.597
195,0.5528
196,0.9089000000000003
197,0.8114000000000001
198,0.47430000000000005
199,0.4756
200,0.623
201,0.7289000000000001
202,0.5904
203,0.4569
204,0.47829999999999995
205,0.8183999999999999
206,0.7606
207,0.5143
208,0.40630000000000005
209,0.6892000000000001
210,0.4363
211,0.819
212,0.4236
213,0.4041
214,0.6801
215,0.07678611111111111
216,0.5333999999999999
217,0.49939999999999996
218,0.6621
219,0.37429999999999997
220,0.43340000000000006
221,0.55
222,0.21570000000000006
223,0.8667999999999999
224,0.40249999999999997
225,0.25710000000000005
226,0.6459999999999999
227,0.7372
228,0.9058000000000002
229,0.8031
230,0.7170000000000001
231,0.36210000000000003
232,0.41929999999999995
233,0.6623
234,0.6338
235,0.7985
236,0.6737
237,0.5965
238,0.6187
239,0.3718
240,0.46900000000000003
241,0.7252
242,0.8271000000000001
243,0.7611
244,0.8151999999999999
245,0.4023
246,0.6720999999999999
247,0.6914
248,0.4787
249,0.5281
250,0.8773
251,0.5801000000000001
252,0.49449999999999994
253,0.4446
254,0.6787
255,0.3137
256,0.3262
257,0.8974
258,0.5690999999999999
259,0.5142
260,0.805
261,0.4314
262,0.6699999999999999
263,0.6174999999999999
264,0.40650000000000003
265,0.4154
266,0.8033999999999999
267,0.576
268,0.7777
269,0.8258000000000001
270,0.7836000000000001
271,0.6225
272,0.39699999999999996
273,0.3736
274,0.7851
275,0.6496999999999999
276,0.2364
277,0.6378999999999999
278,0.5329
279,0.3879
280,0.9097
281,0.5563
282,0.39490000000000003
283,0.5864
284,0.323
285,0.8031
286,0.7604
287,0.9012
288,0.3044
289,0.4671999999999999
290,0.7642
291,0.5958000000000001
292,0.5694999999999999
293,0.8106
294,0.426
295,0.35229999999999995
296,0.6769999999999999
297,0.8782
298,0.6789
299,0.5841000000000001
300,0.7623999999999999
301,0.3891000000000001
302,0.6559999999999999
303,0.6213
304,0.7358
305,0.13779999999999998
306,0.7175999999999999
307,0.8385
308,0.24410000000000004
309,0.6164
310,0.6772000000000001
311,0.4041
312,0.35189999999999994
313,0.7435
314,0.1658
315,0.5165
316,0.7414000000000001
317,0.7731
318,0.6426999999999999
319,0.0442
320,0.0517
321,0.6136999999999999
322,0.7749999999999999
323,0.5663
324,0.5710999999999999
325,0.5246999999999999
326,0.7915
327,0.7585999999999999
328,0.5888
329,0.7184
330,0.6531
331,0.6957
332,0.03467944444444444
333,0.42590000000000006
334,0.7125
335,0.4992
336,0.6622
337,0.7511000000000001
338,0.8187000000000001
339,0.6471
340,0.46609999999999996
341,0.9067000000000001
342,0.49239999999999995
343,0.7625
344,0.786
345,0.6839999999999999
346,0.7179
347,0.8827999999999999
348,0.5831
349,0.43600000000000005
350,0.6511999999999999
351,0.7165
352,0.7968
353,0.7393000000000001
354,0.619
355,0.8486
356,0.7273
357,0.8069999999999998
358,0.5041
359,0.877
360,0.5085
361,0.4316
362,0.7516
363,0.5918999999999999
364,0.6618999999999999
365,0.7875
366,0.6921000000000002
367,0.6147
368,0.5237999999999999
369,0.7041
370,0.21789999999999998
371,0.39330000000000004
372,0.7361
373,0.8771000000000001
374,0.7347999999999999
375,0.884
376,0.5709
377,0.358
378,0.6971
379,0.8152999999999999
380,0.3348
381,0.5250999999999999
382,0.8779
383,0.5177
384,0.8152000000000001
385,0.34269999999999995
386,0.6922999999999999
387,0.35059999999999997
388,0.44959999999999994
389,0.3763
390,0.40379999999999994
391,0.8391000000000002
392,0.8345
393,0.4939
394,0.5839000000000001
395,0.6617999999999999
396,0.6155999999999999
397,0.9062999999999999
398,0.7865
399,0.41129999999999994
400,0.4674999999999999
401,0.8347000000000001
402,0.14629999999999999
403,0.8272999999999999
404,0.8562999999999998
405,0.5553000000000001
406,0.6007
407,0.47079999999999994
408,0.7344999999999999
409,0.6373
410,0.5037
411,0.3034
412,0.7642
413,0.6853
414,0.7203999999999999
415,0.5277999999999999
416,0.7807
417,0.6194
418,0.8135000000000001
419,0.5042
420,0.6310999999999999
421,0.2472
422,0.7607
423,0.1262083333333333
424,0.2833
425,0.24040000000000009
426,0.7847000000000001
427,0.6671999999999999
428,0.7308
429,0.3681
430,0.6158
431,0.4184
432,0.6535
433,0.4678999999999999
434,0.9285
435,0.5889999999999999
436,0.6127999999999999
437,0.32030000000000003
438,0.5023
439,0.6314
440,0.619
441,0.5837999999999999
442,0.8821
443,0.2634
444,0.8166
445,0.5488000000000001
446,0.4523
447,0.6113999999999999
448,0.8864999999999998
449,0.5579
450,0.6728999999999999
451,0.6152
452,0.4561
453,0.5412999999999999
454,0.5521
455,0.7647999999999999
456,0.8460000000000001
457,0.599
458,0.6100000000000001
459,0.777
460,0.6866
461,0.4283
462,0.6463
463,0.8
464,0.6429
465,0.8261000000000001
466,0.5927999999999999
467,0.8074000000000001
468,0.7597999999999999
469,0.7153000000000002
470,0.8368
471,0.39920000000000005
472,0.6517000000000001
473,0.5852
474,0.5677
475,0.7531000000000001
476,0.6967000000000001
477,0.6559999999999999
478,0.34720000000000006
479,0.9359
480,0.8187
481,0.5479
482,0.8390000000000001
483,0.5461
484,0.7874999999999999
485,0.7276
486,0.7621
487,0.7321000000000002
488,0.7344
489,0.5187999999999999
490,0.8749
491,0.48260000000000003
492,0.7866
493,0.2293
494,0.7665
495,0.6091
496,0.7351
497,0.6899
498,0.7914999999999999
499,0.6704
500,0.26050000000000006
501,0.8602000000000001
502,0.6694
503,0.41530000000000006
504,0.6413
505,0.5344
506,0.26570000000000005
507,0.7212999999999999
508,0.6133999999999998
509,0.4168
510,0.8501999999999998
511,0.5508000000000001
512,0.7169000000000001
513,0.3552
514,0.6748000000000001
515,0.6591
516,0.7021
517,0.30000000000000004
518,0.5657
519,0.0503
520,0.7836
521,0.5078
522,0.826
523,0.8656
524,0.5086
525,0.8198000000000001
526,0.22670000000000004
527,0.33530000000000004
528,0.6166
529,0.44860000000000005
530,0.6918
531,0.634
